iteration,theta_1,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
18800,1000.0,1.5750455,1.0869385e-06,1.575589,0.1452296,1.5750676,0.002719164,0.0014135725,183.50122666358948
18900,1000.0,1.5748922,2.0115979e-06,1.5758979,0.14588346,1.5748986,0.002611518,0.0010746715,184.47690558433533
19000,1000.0,1.5749936,1.0869209e-06,1.5755371,0.14561416,1.5749881,0.0026685,0.0011958819,185.4770483970642
19100,1000.0,1.5749689,1.5248987e-06,1.5757314,0.14608757,1.5749093,0.002618432,0.000393242,186.4970724582672
19200,1000.0,1.5750877,1.083276e-06,1.5756294,0.14592123,1.5750911,0.002734065,0.00079576095,187.56702041625977
19300,1000.0,1.5748864,1.84596e-05,1.5841162,0.14880414,1.5750766,0.002724886,0.0037724555,188.56696891784668
19400,1000.0,1.5749118,1.0792766e-06,1.5754515,0.1462949,1.574996,0.0026735067,0.0011558342,189.61870694160461
19500,1000.0,1.5748403,8.748012e-05,1.6185803,0.14061925,1.574625,0.0024373531,0.009845592,190.5807602405548
19600,1000.0,1.5749396,1.0887735e-06,1.575484,0.1468353,1.5749038,0.0026148558,0.0016567487,191.58696794509888
19700,1000.0,1.5744755,4.127764e-05,1.5951144,0.15033865,1.5746518,0.0024545193,0.0048776604,192.69701218605042
19800,1000.0,1.5747417,1.0876694e-06,1.5752856,0.14732239,1.5746605,0.002460003,0.0011356843,193.77719068527222
19900,1000.0,1.5743933,4.699404e-06,1.576743,0.14878714,1.5744836,0.0023473501,0.0015364115,194.9092516899109
20000,1000.0,1.5745162,1.0800109e-06,1.5750562,0.14810187,1.5745214,0.0023714304,0.0009387356,195.87718892097473
20100,1000.0,1.5744481,1.0778249e-06,1.574987,0.14804828,1.57439,0.0022878647,0.001990886,196.8769314289093
20200,1000.0,1.5741478,1.1231995e-06,1.5747094,0.14865628,1.5741622,0.002142787,0.002111689,197.9470136165619
20300,1000.0,1.5742123,1.0740433e-06,1.5747494,0.14903584,1.574193,0.0021623373,0.0010395471,198.96697616577148
20400,1000.0,1.5742844,7.94249e-06,1.5782557,0.15140791,1.5742236,0.0021818876,0.0031039147,200.07029032707214
20500,1000.0,1.5742826,1.0743726e-06,1.5748198,0.14959323,1.5742874,0.0022224188,0.0010815763,201.06705117225647
20600,1000.0,1.5741798,2.1168325e-05,1.5847639,0.15231502,1.5740372,0.0020631552,0.0029937841,202.07700181007385
20700,1000.0,1.5740995,1.074285e-06,1.5746367,0.15052007,1.5740705,0.0020843744,0.0008911159,203.09202241897583
20800,1000.0,1.5741205,1.7626771e-05,1.5829339,0.15317021,1.5740465,0.0020691156,0.0044988105,204.11693501472473
20900,1000.0,1.574097,1.0755858e-06,1.5746348,0.15083614,1.5740845,0.0020933151,0.00080997025,205.1069438457489
21000,1000.0,1.574084,1.4162185e-06,1.5747921,0.15113665,1.5740663,0.0020816326,0.0014593686,206.23705649375916
21100,1000.0,1.5740274,1.0780577e-06,1.5745665,0.15126653,1.5740469,0.002069354,0.0012884676,207.2569761276245
21200,1000.0,1.5738875,1.5083713e-06,1.5746417,0.15171471,1.5739118,0.001983285,0.0010919356,208.24680852890015
21300,1000.0,1.5739394,1.076784e-06,1.5744778,0.15177085,1.5739938,0.0020354986,0.0016559279,209.227148771286
21400,1000.0,1.5738978,1.0743811e-06,1.574435,0.15164821,1.5739245,0.0019915104,0.00063770736,210.2319095134735
21500,1000.0,1.5739077,1.1348152e-06,1.5744752,0.15232758,1.5739343,0.0019977093,0.0019961994,211.22694993019104
21600,1000.0,1.5737386,1.0674503e-06,1.5742723,0.15238549,1.5737383,0.0018728971,0.0012493889,212.24904417991638
21700,1000.0,1.5737832,1.2589176e-06,1.5744126,0.15303071,1.5738449,0.0019407272,0.0009817049,213.20680451393127
21800,1000.0,1.5738772,1.0736139e-06,1.574414,0.15275666,1.5739099,0.0019820929,0.0009515079,214.22703576087952
21900,1000.0,1.5740144,1.1318339e-06,1.5745803,0.15329087,1.5740529,0.0020731688,0.0011473779,215.29700231552124
22000,1000.0,1.574028,1.0779099e-06,1.574567,0.1531219,1.5739672,0.002018571,0.00018961294,216.25708079338074
22100,1000.0,1.5743299,1.6306018e-06,1.5751451,0.15387845,1.5742669,0.002209425,0.0011876072,217.27198934555054
22200,1000.0,1.5739955,1.0686125e-06,1.5745298,0.1535227,1.5740173,0.002050519,0.0004775408,218.27693700790405
22300,1000.0,1.5738809,1.3869567e-06,1.5745744,0.15407233,1.5739281,0.0019937754,0.00043196714,219.25700664520264
22400,1000.0,1.5738204,1.0830355e-06,1.5743619,0.1542712,1.5738375,0.0019360781,0.0016961659,220.30703282356262
