iteration,beta,loss_a,loss_b,loss_m,loss,loss_mul,L2-error,objective,objective-error,constraint-error,runtime
11000,1000.0,1.5912348,6.653384e-07,0.0,1.5915675,1.0311569,0.089268684,1.5914334,0.013137937,0.0010311569,60.786316871643066
11100,1000.0,1.5905108,3.977042e-06,0.0,1.5924994,2.4063995,0.09226479,1.5932524,0.014295936,0.0024063995,61.48736786842346
11200,1000.0,1.5910784,1.8921527e-06,0.0,1.5920244,2.0814502,0.09157008,1.5921057,0.013566017,0.0020814503,62.21925115585327
11300,1000.0,1.5922755,2.6736545e-06,0.0,1.5936123,0.87019926,0.08989777,1.5923043,0.013692379,0.0008701992,62.9161171913147
11400,1000.0,1.5903996,2.2221515e-05,0.0,1.6015104,6.820009,0.085446335,1.5891843,0.011706114,0.006820009,63.606032371520996
11500,1000.0,1.5906143,7.6637997e-07,0.0,1.5909975,2.6974287,0.0885658,1.5913917,0.013111353,0.0026974287,64.29616498947144
11600,1000.0,1.5886388,1.0389544e-05,0.0,1.5938336,3.9031982,0.09361348,1.5892566,0.011752129,0.0039031983,64.95609545707703
11700,1000.0,1.5900806,6.127913e-06,0.0,1.5931445,3.539159,0.094507374,1.5920587,0.013535976,0.003539159,65.6760663986206
11800,1000.0,1.5894692,3.860066e-06,0.0,1.5913992,1.7622436,0.09299283,1.5901136,0.0122977495,0.0017622436,66.37842512130737
11900,1000.0,1.5916998,2.0976583e-07,0.0,1.5918047,3.2164629,0.094715744,1.5907155,0.012680888,0.003216463,67.0360357761383
12000,1000.0,1.5893699,7.0716796e-06,0.0,1.5929058,2.9652467,0.09437018,1.5897261,0.012050986,0.0029652466,67.76605558395386
12100,1000.0,1.5912901,1.4609201e-05,0.0,1.5985947,4.4006014,0.08943763,1.5901612,0.012328029,0.0044006016,68.42628979682922
12200,1000.0,1.5894402,2.574583e-06,0.0,1.5907276,1.8293811,0.09404504,1.5898876,0.012153864,0.0018293811,69.11127281188965
12300,1000.0,1.5902069,1.8166582e-05,0.0,1.5992901,2.7879827,0.09294196,1.5887449,0.01142633,0.0027879828,69.80612897872925
12400,1000.0,1.5903417,3.4008495e-05,0.0,1.6073459,1.14057,0.0950708,1.590575,0.012591481,0.00114057,70.50116419792175
12500,1000.0,1.5904566,2.366157e-05,0.0,1.6022874,4.925698,0.09864255,1.5916867,0.013299227,0.0049256976,71.20613598823547
12600,1000.0,1.5906185,2.9247397e-07,0.0,1.5907648,2.3455386,0.09391558,1.5897279,0.012052178,0.0023455387,71.90982580184937
12700,1000.0,1.5900594,1.6856728e-05,0.0,1.5984877,2.5837548,0.09300956,1.589841,0.012124181,0.0025837547,72.6358847618103
