iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
10900,10001,1.4734703,2.50E-06,1.4859772,0.056845125,14.732144,0.02139163,0.001358647,33.42006183
11000,10001,1.4729074,4.24E-06,1.4940846,0.058194745,14.736521,0.021695137,0.00235815,33.70993829
11100,10001,1.4732412,2.49E-06,1.4856884,0.056273755,14.730137,0.021252513,0.00125945,34.04380012
11200,10001,1.4729168,2.42E-06,1.4850156,0.05613991,14.729214,0.021188498,0.001158817,34.31992555
11300,10001,1.4728159,4.20E-06,1.4938414,0.05415792,14.721642,0.0206635,0.001528885,34.63393545
11400,10001,1.4722588,2.27E-06,1.483605,0.05544527,14.726089,0.020971775,0.001389842,34.90970039
11500,10001,1.4722689,2.92E-06,1.486875,0.053597853,14.719343,0.020504117,0.001421648,35.23013139
11600,10001,1.4717776,3.24E-06,1.4879969,0.05302334,14.717206,0.02035594,0.001983323,35.57996035
11700,10001,1.4715852,2.32E-06,1.4831724,0.05255781,14.715122,0.020211577,0.001525824,35.89996672
11800,10001,1.4717591,3.02E-06,1.486876,0.052144114,14.713612,0.020106792,0.001565662,36.18979788
11900,10001,1.4714532,2.00E-06,1.4814669,0.052280065,14.713525,0.020100832,0.001143271,36.49546647
12000,10001,1.4702088,2.97E-05,1.6188866,0.05321746,14.716251,0.020289779,0.004115519,36.79005885
12100,10001,1.4710994,2.73E-06,1.4847375,0.051000927,14.70821,0.019732356,0.00111427,37.08997059
12200,10001,1.4699328,1.87E-05,1.563617,0.053786974,14.717876,0.020402431,0.003827186,37.3839829
12300,10001,1.4704795,1.94E-06,1.4801726,0.050141178,14.704237,0.019456863,0.001137479,37.66997766
12400,10001,1.4703631,5.22E-06,1.4964802,0.047889795,14.6957,0.01886499,0.00466391,37.97992587
12500,10001,1.4702944,2.41E-06,1.4823563,0.05021665,14.704578,0.019480467,0.000977231,38.2600913
12600,10001,1.470144,2.21E-06,1.4812135,0.04995113,14.70306,0.019375205,0.001353038,38.53993845
12700,10001,1.4699305,2.39E-06,1.4818763,0.04954295,14.701332,0.0192554,0.001192907,38.8179431
12800,10001,1.4697433,2.56E-06,1.4825302,0.0490395,14.699059,0.019097805,0.001062134,39.12998986
12900,10001,1.4700054,2.82E-06,1.4841126,0.048425898,14.696447,0.018916726,0.001011014,39.40997243
13000,10001,0.14697361,1.97E-06,0.15684631,0.048732918,14.697626,0.018998504,0.001323105,39.74110603
13100,10001,0.14696041,1.89E-06,0.15643393,0.048323613,14.696363,0.018911004,0.001291667,40.01995945
13200,10001,0.14696161,1.81E-06,0.15601078,0.048360296,14.696652,0.018931031,0.0011975,40.32992196
13300,10001,0.14695907,2.06E-06,0.15726778,0.04860386,14.698208,0.019038796,0.001208386,40.61996937
13400,10001,0.1469722,2.08E-06,0.15737754,0.047961712,14.695845,0.018875003,0.001237746,40.9101572
13500,10001,0.14697467,2.13E-06,0.15761368,0.048175115,14.697027,0.018957019,0.001124036,41.23995018
13600,10001,0.1469976,2.63E-06,0.1601514,0.047740415,14.695156,0.01882732,0.001260174,41.52992392
13700,10001,0.14700377,2.66E-06,0.16030703,0.047890536,14.696161,0.018896937,0.00128067,41.8498311
13800,10001,0.14700197,1.92E-06,0.15662065,0.048204698,14.697704,0.019003987,0.001041019,42.1208055
13900,10001,0.14699568,1.99E-06,0.15692896,0.04880871,14.699914,0.019157171,0.00128287,42.45596576
14000,10001,0.14703275,9.18E-06,0.19293492,0.048250165,14.69809,0.01903069,0.001982821,42.72998595
14100,10001,0.1469893,1.66E-06,0.15527424,0.048678573,14.699776,0.019147515,0.001085233,43.07978773
14200,10001,0.14702055,3.02E-06,0.16214359,0.047692895,14.696199,0.01889956,0.001630945,43.35993886
14300,10001,0.14699787,2.02E-06,0.15711486,0.047774445,14.696638,0.018929958,0.001478238,43.67903733
14400,10001,0.14702775,8.23E-06,0.18816555,0.04866159,14.699795,0.019148827,0.001745143,43.97992492
14500,10001,0.14700125,1.81E-06,0.15603289,0.048193444,14.698917,0.01908803,0.001292843,44.26993823
14600,10001,0.14699326,1.77E-06,0.15586235,0.04865263,14.700657,0.01920867,0.00095472,44.58974433
14700,10001,0.14697172,2.39E-06,0.15893362,0.048682038,14.700762,0.019215941,0.001106409,44.87982178
